image_id,split,background,image_path,mask_path,label_source,edge_ring_width,foreground_fraction
1,test,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/bright/1.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/bright/1.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/10.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/10.png,proxy_ring_from_counting_mask,80,0.11847639083862305
100,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/100.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/100.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1000,validation,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/bright/1000.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/bright/1000.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1001,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/1001.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/1001.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1002,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/1002.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/1002.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1003,test,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/bright/1003.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/bright/1003.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1004,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/1004.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/1004.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1005,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/1005.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/1005.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1006,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/1006.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/1006.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1007,train,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/bright/1007.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/bright/1007.png,proxy_ring_from_counting_mask,80,0.11847639083862305
1008,test,bright,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/bright/1008.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/bright/1008.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10000,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10000.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10000.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10001,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10001.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10001.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10002,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10002.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10002.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10003,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10003.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10003.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10004,validation,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/images/dark/10004.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/validation/masks/dark/10004.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10005,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10005.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10005.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10006,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10006.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10006.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10007,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10007.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10007.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10008,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10008.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10008.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10009,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10009.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10009.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10010,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10010.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10010.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10011,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10011.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10011.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10012,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10012.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10012.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10013,train,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/images/dark/10013.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/train/masks/dark/10013.png,proxy_ring_from_counting_mask,80,0.11847639083862305
10014,test,dark,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/images/dark/10014.png,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/paper_data/edge/test/masks/dark/10014.png,proxy_ring_from_counting_mask,80,0.11847639083862305
