tile_id,image_id,split,tile_path,source_path,x0,y0,tile_size,source_width,source_height,n_boxes,is_negative,boxes_json,true_count_metadata,true_count_boxes,plate_condition
1__x0000_y0000,1,test,tiles/test/1__x0000_y0000.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,0,0,512,2048,2048,0,1,[],0,0,empty
1__x0384_y0000,1,test,tiles/test/1__x0384_y0000.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,384,0,512,2048,2048,0,1,[],0,0,empty
1__x0768_y0000,1,test,tiles/test/1__x0768_y0000.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,768,0,512,2048,2048,0,1,[],0,0,empty
1__x1152_y0000,1,test,tiles/test/1__x1152_y0000.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,1152,0,512,2048,2048,0,1,[],0,0,empty
1__x1536_y0000,1,test,tiles/test/1__x1536_y0000.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,1536,0,512,2048,2048,0,1,[],0,0,empty
1__x0000_y0384,1,test,tiles/test/1__x0000_y0384.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,0,384,512,2048,2048,0,1,[],0,0,empty
1__x0384_y0384,1,test,tiles/test/1__x0384_y0384.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,384,384,512,2048,2048,0,1,[],0,0,empty
1__x0768_y0384,1,test,tiles/test/1__x0768_y0384.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,768,384,512,2048,2048,0,1,[],0,0,empty
1__x1152_y0384,1,test,tiles/test/1__x1152_y0384.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,1152,384,512,2048,2048,0,1,[],0,0,empty
1__x1536_y0384,1,test,tiles/test/1__x1536_y0384.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,1536,384,512,2048,2048,0,1,[],0,0,empty
1__x0000_y0768,1,test,tiles/test/1__x0000_y0768.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,0,768,512,2048,2048,0,1,[],0,0,empty
1__x0384_y0768,1,test,tiles/test/1__x0384_y0768.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,384,768,512,2048,2048,0,1,[],0,0,empty
1__x0768_y0768,1,test,tiles/test/1__x0768_y0768.jpg,/Users/ameliacitra/Documents/AI-ML/Bacteria-2/preprocessed_intensity_sigma040/local_flatfield/bright/1.png,768,768,512,2048,2048,0,1,[],0,0,empty
