source_file,split,metric_group,metric,value
colony_test_count_summary.csv,test,summary,n_images,1711.0
colony_test_count_summary.csv,test,summary,mae,1.8340151957919344
colony_test_count_summary.csv,test,summary,median_absolute_error,1.0
colony_test_count_summary.csv,test,summary,rmse,7.3309508553928175
colony_test_count_summary.csv,test,summary,mean_bias,-0.2922267679719462
colony_test_count_summary.csv,test,summary,mape_nonzero,0.1824979224047508
colony_test_count_summary.csv,test,summary,smape,0.1310018779848636
colony_test_count_summary.csv,test,summary,within_5_colonies,0.9327878433664524
colony_test_count_summary.csv,test,summary,within_10_colonies,0.9690239625949736
colony_test_count_summary.csv,test,summary,within_10_percent_or_2,0.913500876680304
colony_test_count_summary.csv,test,summary,pearson_correlation,0.9802093110091014
colony_test_full_detection_summary.csv,test,summary,full_map,0.438723474740982
colony_test_full_detection_summary.csv,test,summary,full_map_50,0.8262225389480591
colony_test_full_detection_summary.csv,test,summary,full_map_75,0.4023400247097015
colony_test_full_detection_summary.csv,test,summary,precision_iou50,0.925308142578404
colony_test_full_detection_summary.csv,test,summary,recall_iou50,0.9151389640646694
colony_test_full_detection_summary.csv,test,summary,f1_iou50,0.9201954590092168
colony_test_full_detection_summary.csv,test,summary,tp_iou50,38887.0
colony_test_full_detection_summary.csv,test,summary,fp_iou50,3139.0
colony_test_full_detection_summary.csv,test,summary,fn_iou50,3606.0
colony_test_tile_detection_summary.csv,test,summary,tile_map,0.4794395565986633
colony_test_tile_detection_summary.csv,test,summary,tile_map_50,0.8980750441551208
colony_test_tile_detection_summary.csv,test,summary,tile_map_75,0.4429690241813659
colony_test_tile_detection_summary.csv,test,summary,tile_precision_iou50,0.9066842708916808
colony_test_tile_detection_summary.csv,test,summary,tile_recall_iou50,0.922193133571167
colony_test_tile_detection_summary.csv,test,summary,tile_f1_iou50,0.9143729447287549
colony_test_tile_detection_summary.csv,test,summary,tile_tp,67985.0
colony_test_tile_detection_summary.csv,test,summary,tile_fp,6997.0
colony_test_tile_detection_summary.csv,test,summary,tile_fn,5736.0
colony_val_count_summary.csv,val,summary,n_images,1682.0
colony_val_count_summary.csv,val,summary,mae,1.7877526753864448
colony_val_count_summary.csv,val,summary,median_absolute_error,1.0
colony_val_count_summary.csv,val,summary,rmse,7.037313494000523
colony_val_count_summary.csv,val,summary,mean_bias,-0.3418549346016646
colony_val_count_summary.csv,val,summary,mape_nonzero,0.1403927368958626
colony_val_count_summary.csv,val,summary,smape,0.1348447421035874
colony_val_count_summary.csv,val,summary,within_5_colonies,0.9441141498216408
colony_val_count_summary.csv,val,summary,within_10_colonies,0.9708680142687276
colony_val_count_summary.csv,val,summary,within_10_percent_or_2,0.9274673008323424
colony_val_count_summary.csv,val,summary,pearson_correlation,0.9819628083375908
colony_val_full_detection_summary.csv,val,summary,full_map,0.4374705553054809
colony_val_full_detection_summary.csv,val,summary,full_map_50,0.804529070854187
colony_val_full_detection_summary.csv,val,summary,full_map_75,0.4120934605598449
colony_val_full_detection_summary.csv,val,summary,precision_iou50,0.9121491933392124
colony_val_full_detection_summary.csv,val,summary,recall_iou50,0.8988140878188416
colony_val_full_detection_summary.csv,val,summary,f1_iou50,0.90543254376931
colony_val_full_detection_summary.csv,val,summary,tp_iou50,35167.0
colony_val_full_detection_summary.csv,val,summary,fp_iou50,3387.0
colony_val_full_detection_summary.csv,val,summary,fn_iou50,3959.0
colony_val_tile_detection_summary.csv,val,summary,tile_map,0.4745561778545379
colony_val_tile_detection_summary.csv,val,summary,tile_map_50,0.8716794848442078
colony_val_tile_detection_summary.csv,val,summary,tile_map_75,0.4502685368061065
colony_val_tile_detection_summary.csv,val,summary,tile_precision_iou50,0.8980043047278797
colony_val_tile_detection_summary.csv,val,summary,tile_recall_iou50,0.9028558810540264
colony_val_tile_detection_summary.csv,val,summary,tile_f1_iou50,0.900423557738187
colony_val_tile_detection_summary.csv,val,summary,tile_tp,61331.0
colony_val_tile_detection_summary.csv,val,summary,tile_fp,6966.0
colony_val_tile_detection_summary.csv,val,summary,tile_fn,6599.0
plate_test_summary.csv,,dice,mean,0.994967062279023
plate_test_summary.csv,,dice,std,0.0190395333429512
plate_test_summary.csv,,dice,median,0.9987683562292762
plate_test_summary.csv,,dice,p10,0.9951423680223056
plate_test_summary.csv,,dice,p90,0.9991971925732752
plate_test_summary.csv,,dice,min,0.5830948756980384
plate_test_summary.csv,,dice,max,0.9995077009635
plate_test_summary.csv,,iou,mean,0.9905795367240076
plate_test_summary.csv,,iou,std,0.0316422184003932
plate_test_summary.csv,,iou,median,0.9975397426192316
plate_test_summary.csv,,iou,p10,0.9903317011637472
plate_test_summary.csv,,iou,p90,0.9983956731120952
plate_test_summary.csv,,iou,min,0.4115271133527005
plate_test_summary.csv,,iou,max,0.9990158864051752
plate_test_summary.csv,,precision,mean,0.997522022236092
plate_test_summary.csv,,precision,std,0.0162124335561784
plate_test_summary.csv,,precision,median,0.9988131861267724
plate_test_summary.csv,,precision,p10,0.9958599819891292
plate_test_summary.csv,,precision,p90,0.9996381025136184
plate_test_summary.csv,,precision,min,0.4406268136979676
plate_test_summary.csv,,precision,max,1.0
plate_test_summary.csv,,recall,mean,0.9929022602736076
plate_test_summary.csv,,recall,std,0.026768299350609
plate_test_summary.csv,,recall,median,0.99891538101917
plate_test_summary.csv,,recall,p10,0.9949457518257754
plate_test_summary.csv,,recall,p90,0.9997336366701388
plate_test_summary.csv,,recall,min,0.5942122706334786
plate_test_summary.csv,,recall,max,1.0
plate_test_summary.csv,,center_error_normalized,mean,0.001688685484272
plate_test_summary.csv,,center_error_normalized,std,0.007113824424919
plate_test_summary.csv,,center_error_normalized,median,0.0002588316081161
plate_test_summary.csv,,center_error_normalized,p10,8.67457390969771e-05
plate_test_summary.csv,,center_error_normalized,p90,0.0015829060279374
plate_test_summary.csv,,center_error_normalized,min,3.3424363931112427e-06
plate_test_summary.csv,,center_error_normalized,max,0.1658400804829325
plate_test_summary.csv,,area_relative_error,mean,0.0077788391970383
plate_test_summary.csv,,area_relative_error,std,0.0376690470063725
plate_test_summary.csv,,area_relative_error,median,0.001265516800091
plate_test_summary.csv,,area_relative_error,p10,0.0002188048564354
plate_test_summary.csv,,area_relative_error,p90,0.007076518882307
plate_test_summary.csv,,area_relative_error,min,0.0
plate_test_summary.csv,,area_relative_error,max,1.2654019534184824
plate_test_summary.csv,,radius_relative_error,mean,0.0039173326629852
plate_test_summary.csv,,radius_relative_error,std,0.0174760407890822
plate_test_summary.csv,,radius_relative_error,median,0.0006326025194852
plate_test_summary.csv,,radius_relative_error,p10,0.0001094084133224
plate_test_summary.csv,,radius_relative_error,p90,0.0035326367183424
plate_test_summary.csv,,radius_relative_error,min,0.0
plate_test_summary.csv,,radius_relative_error,max,0.5051252284838239
plate_test_summary.csv,,prediction_empty,mean,0.0
plate_test_summary.csv,,prediction_empty,std,0.0
plate_test_summary.csv,,prediction_empty,median,0.0
plate_test_summary.csv,,prediction_empty,p10,0.0
plate_test_summary.csv,,prediction_empty,p90,0.0
plate_test_summary.csv,,prediction_empty,min,0.0
plate_test_summary.csv,,prediction_empty,max,0.0
plate_val_summary.csv,,dice,mean,0.9934923732511814
plate_val_summary.csv,,dice,std,0.0272428925181585
plate_val_summary.csv,,dice,median,0.998782795910758
plate_val_summary.csv,,dice,p10,0.9952790386186476
plate_val_summary.csv,,dice,p90,0.9992089090987548
plate_val_summary.csv,,dice,min,0.4232979091072411
plate_val_summary.csv,,dice,max,0.9994840363988872
plate_val_summary.csv,,iou,mean,0.9882091086853232
plate_val_summary.csv,,iou,std,0.0426269836256582
plate_val_summary.csv,,iou,median,0.9975685513907075
plate_val_summary.csv,,iou,p10,0.9906024428821276
plate_val_summary.csv,,iou,p90,0.998419068857918
plate_val_summary.csv,,iou,min,0.268470443182042
plate_val_summary.csv,,iou,max,0.998968604960074
plate_val_summary.csv,,precision,mean,0.9973187838707273
plate_val_summary.csv,,precision,std,0.0227514156040742
plate_val_summary.csv,,precision,median,0.9988192323435896
plate_val_summary.csv,,precision,p10,0.9959838957482876
plate_val_summary.csv,,precision,p90,0.9996534427879414
plate_val_summary.csv,,precision,min,0.3082452497808792
plate_val_summary.csv,,precision,max,1.0
plate_val_summary.csv,,recall,mean,0.990531256124496
plate_val_summary.csv,,recall,std,0.0362469591438615
plate_val_summary.csv,,recall,median,0.998932217144323
plate_val_summary.csv,,recall,p10,0.994335145065654
plate_val_summary.csv,,recall,p90,0.9997344520668764
plate_val_summary.csv,,recall,min,0.5470661864261028
plate_val_summary.csv,,recall,max,1.0
plate_val_summary.csv,,center_error_normalized,mean,0.0021531769026607
plate_val_summary.csv,,center_error_normalized,std,0.0100368820269707
plate_val_summary.csv,,center_error_normalized,median,0.0002521452699219
plate_val_summary.csv,,center_error_normalized,p10,8.660435934902964e-05
plate_val_summary.csv,,center_error_normalized,p90,0.0016850793069674
plate_val_summary.csv,,center_error_normalized,min,5.300850131035999e-06
plate_val_summary.csv,,center_error_normalized,max,0.221400769401608
plate_val_summary.csv,,area_relative_error,mean,0.0104750624732728
plate_val_summary.csv,,area_relative_error,std,0.0501814366209467
plate_val_summary.csv,,area_relative_error,median,0.0012223580397821
plate_val_summary.csv,,area_relative_error,p10,0.0002262016470934
plate_val_summary.csv,,area_relative_error,p90,0.0074466308055523
plate_val_summary.csv,,area_relative_error,min,0.0
plate_val_summary.csv,,area_relative_error,max,1.1910669975186103
plate_val_summary.csv,,radius_relative_error,mean,0.0052987922944559
plate_val_summary.csv,,radius_relative_error,std,0.0236995101127192
plate_val_summary.csv,,radius_relative_error,median,0.0006109923640566
plate_val_summary.csv,,radius_relative_error,p10,0.0001130970907598
plate_val_summary.csv,,radius_relative_error,p90,0.0037275022503982
plate_val_summary.csv,,radius_relative_error,min,0.0
plate_val_summary.csv,,radius_relative_error,max,0.4802253198478299
plate_val_summary.csv,,prediction_empty,mean,0.0
plate_val_summary.csv,,prediction_empty,std,0.0
plate_val_summary.csv,,prediction_empty,median,0.0
plate_val_summary.csv,,prediction_empty,p10,0.0
plate_val_summary.csv,,prediction_empty,p90,0.0
plate_val_summary.csv,,prediction_empty,min,0.0
plate_val_summary.csv,,prediction_empty,max,0.0
production_e2e_test_count_summary.csv,test,summary,n_images,1713.0
production_e2e_test_count_summary.csv,test,summary,mae,1.9889083479276124
production_e2e_test_count_summary.csv,test,summary,median_absolute_error,1.0
production_e2e_test_count_summary.csv,test,summary,rmse,6.728970397861385
production_e2e_test_count_summary.csv,test,summary,mean_bias,-0.1068301225919439
production_e2e_test_count_summary.csv,test,summary,mape_nonzero,0.2085832146107228
