epoch,train_loss,train_heatmap_loss,train_size_loss,train_offset_loss,train_precision,train_recall,train_f1,val_loss,val_heatmap_loss,val_size_loss,val_offset_loss,val_precision,val_recall,val_f1,learning_rate,elapsed_seconds
1,191.3518524169922,191.3518524169922,0.0,0.0,0.0,0.0,0.0,123.25444892883301,123.25444892883301,0.0,0.0,0.0,0.0,0.0,0.0001992114701314478,8.178580749998218
2,134.9314422607422,134.9314422607422,0.0,0.0,0.0,0.0,0.0,140.05992477416993,140.05992477416993,0.0,0.0,0.0,0.0,0.0,0.0001968583161128631,3.0353898749963264
3,103.8220100402832,103.8220100402832,0.0,0.0,0.0,0.0,0.0,123.4542372894287,123.4542372894287,0.0,0.0,0.0,0.0,0.0,0.00019297764858882514,3.0062666250014445
4,81.16850280761719,81.16850280761719,0.0,0.0,0.0,0.0,0.0,120.58359451293946,120.58359451293946,0.0,0.0,0.0,0.0,0.0,0.00018763066800438636,2.9916090830010944
5,59.76188278198242,59.76188278198242,0.0,0.0,0.0,0.0,0.0,111.39922218322754,111.39922218322754,0.0,0.0,0.0,0.0,0.0,0.00018090169943749476,2.9958270420029294
6,42.00585174560547,42.00585174560547,0.0,0.0,0.0,0.0,0.0,101.22487045288086,101.22487045288086,0.0,0.0,0.0,0.0,0.0,0.00017289686274214118,3.026880625002377
7,28.493715286254883,28.493715286254883,0.0,0.0,0.0,0.0,0.0,85.7118238067627,85.7118238067627,0.0,0.0,0.0,0.0,0.0,0.000163742398974869,2.9975708330021007
8,25.302860260009766,25.302860260009766,0.0,0.0,0.0,0.0,0.0,67.37537166595459,67.37537166595459,0.0,0.0,0.0,0.0,0.0,0.00015358267949789966,2.9960091249959078
9,17.291034698486328,17.291034698486328,0.0,0.0,0.0,0.0,0.0,51.550142498016356,51.550142498016356,0.0,0.0,0.0,0.0,0.0,0.00014257792915650726,2.9973307910040603
10,12.79965353012085,12.79965353012085,0.0,0.0,0.0,0.0,0.0,37.19884920120239,37.19884920120239,0.0,0.0,0.0,0.0,0.0,0.00013090169943749474,2.997616000000562
11,12.489881992340088,12.489881992340088,0.0,0.0,0.0,0.0,0.0,28.85576570510864,28.85576570510864,0.0,0.0,0.0,0.0,0.0,0.00011873813145857248,2.994283957996231
12,8.921050071716309,8.921050071716309,0.0,0.0,0.0,0.0,0.0,22.348251390457154,22.348251390457154,0.0,0.0,0.0,0.0,0.0,0.00010627905195293135,3.0043682920004358
13,7.73360800743103,7.73360800743103,0.0,0.0,0.0,0.0,0.0,17.552189168930052,17.552189168930052,0.0,0.0,0.0,0.0,0.0,9.372094804706867e-05,3.0333687090023886
14,7.766337871551514,7.766337871551514,0.0,0.0,0.0,0.0,0.0,13.808199100494384,13.808199100494384,0.0,0.0,0.0,0.0,0.0,8.126186854142755e-05,3.002771125000436
15,7.1575608253479,7.1575608253479,0.0,0.0,0.0,0.0,0.0,11.651624994277954,11.651624994277954,0.0,0.0,0.0,0.0,0.0,6.90983005625053e-05,2.9960742909970577
16,5.086246967315674,5.086246967315674,0.0,0.0,0.0,0.0,0.0,9.253824572563172,9.253824572563172,0.0,0.0,0.0,0.0,0.0,5.742207084349274e-05,3.0117030830006115
17,4.657664775848389,4.657664775848389,0.0,0.0,0.0,0.0,0.0,7.83594875574112,7.83594875574112,0.0,0.0,0.0,0.0,0.0,4.6417320502100316e-05,3.002542792004533
18,5.813117504119873,5.813117504119873,0.0,0.0,0.0,0.0,0.0,7.045139887332916,7.045139887332916,0.0,0.0,0.0,0.0,0.0,3.6257601025131026e-05,2.998841334003373
19,4.273587226867676,4.273587226867676,0.0,0.0,0.0,0.0,0.0,6.28784252166748,6.28784252166748,0.0,0.0,0.0,0.0,0.0,2.7103137257858868e-05,3.0000207499979297
20,4.439625263214111,4.439625263214111,0.0,0.0,0.0,0.0,0.0,5.878616893291474,5.878616893291474,0.0,0.0,0.0,0.0,0.0,1.909830056250527e-05,3.004481791998842
21,4.5800981521606445,4.5800981521606445,0.0,0.0,0.0,0.0,0.0,5.599189567565918,5.599189567565918,0.0,0.0,0.0,0.0,0.0,1.2369331995613644e-05,3.0340083749979385
22,4.374415755271912,4.374415755271912,0.0,0.0,0.0,0.0,0.0,5.318485689163208,5.318485689163208,0.0,0.0,0.0,0.0,0.0,7.0223514111748665e-06,2.992702375006047
23,4.596341609954834,4.596341609954834,0.0,0.0,0.0,0.0,0.0,5.233841624259949,5.233841624259949,0.0,0.0,0.0,0.0,0.0,3.141683887136904e-06,2.9919930420001037
24,4.33499813079834,4.33499813079834,0.0,0.0,0.0,0.0,0.0,4.894659051895141,4.894659051895141,0.0,0.0,0.0,0.0,0.0,7.885298685522236e-07,3.0044662080035778
25,4.06038498878479,4.06038498878479,0.0,0.0,0.0,0.0,0.0,4.752595906257629,4.752595906257629,0.0,0.0,0.0,0.0,0.0,0.0,3.020803999999771
