image_id,split,candidate_tiles,saved_tiles,saved_positive_tiles,saved_negative_tiles,source_boxes,elapsed_seconds,status
1,test,25,25,0,25,0,0.0378459159983322,success
10,train,25,2,0,2,0,0.02353029199730372,success
100,train,25,2,0,2,0,0.01876599999377504,success
1000,val,25,25,7,18,4,0.04859704200498527,success
1001,train,25,9,7,2,3,0.026446458999998868,success
1002,train,25,25,24,1,151,0.030422417003137525,success
1003,test,25,25,3,22,2,0.03201345799607225,success
1004,train,25,6,4,2,1,0.019806834003247786,success
1005,train,25,25,24,1,73,0.03588720800325973,success
1006,train,25,6,4,2,4,0.025435292001930065,success
1007,train,25,12,10,2,6,0.02386349999869708,success
1008,test,25,25,24,1,102,0.032443416996102314,success
1009,train,25,3,1,2,1,0.022913375003554393,success
101,val,25,25,0,25,0,0.03153008399385726,success
1010,train,25,25,24,1,139,0.03154220800206531,success
1011,train,25,25,25,0,232,0.03730999999970663,success
1012,train,25,24,22,2,116,0.03485374999581836,success
1013,train,25,25,24,1,150,0.032524208996619564,success
1014,val,25,25,13,12,20,0.03180199999769684,success
1015,train,25,25,25,0,161,0.03308679199835751,success
1016,train,25,7,5,2,4,0.026175750004767906,success
1017,train,25,13,11,2,16,0.024186041999200825,success
1018,train,25,3,1,2,1,0.019039665996388067,success
1019,train,25,23,21,2,95,0.033324957999866456,success
102,train,25,2,0,2,0,0.01993666699854657,success
1020,train,25,15,13,2,17,0.028371499996865168,success
1021,test,25,25,13,12,20,0.03179950000048848,success
1022,train,25,22,20,2,40,0.02836633299739333,success
1023,train,25,8,6,2,4,0.022932042003958486,success
1024,test,25,25,10,15,10,0.03138720800052397,success
1025,val,25,25,13,12,11,0.0320058329962194,success
1026,train,25,12,10,2,11,0.024362707998079713,success
1027,val,25,25,17,8,17,0.029350790995522402,success
1028,train,25,24,22,2,126,0.03229804100556066,success
1029,train,25,23,21,2,40,0.031235459005984012,success
103,val,25,25,0,25,0,0.03075308299594326,success
1030,train,25,10,8,2,5,0.026827832996787038,success
1031,train,25,8,6,2,4,0.02175862500007497,success
1032,train,25,17,15,2,17,0.0451642920015729,success
1033,train,25,4,2,2,2,0.021046250003564637,success
1034,train,25,8,6,2,4,0.026147875003516674,success
1035,train,25,20,18,2,80,0.02892129199608462,success
1036,train,25,7,5,2,5,0.023206500001833774,success
1037,val,25,25,14,11,12,0.03433854199829511,success
1038,val,25,25,4,21,1,0.028791249998903368,success
1039,val,25,25,6,19,7,0.03380045900121331,success
104,train,25,2,0,2,0,0.022498167003504932,success
1040,train,25,24,22,2,80,0.03057183300552424,success
1041,train,25,3,1,2,1,0.019233999999414664,success
1042,train,25,8,6,2,4,0.025055417005205527,success
1043,test,25,25,16,9,33,0.03452912499778904,success
1044,train,25,6,4,2,4,0.021607292001135647,success
1045,train,25,8,6,2,4,0.025422416998480912,success
1046,train,25,7,5,2,4,0.02430774999811547,success
1047,val,25,25,24,1,81,0.03434900000138441,success
1048,train,25,19,17,2,15,0.029602583999803755,success
1049,test,25,25,11,14,10,0.03847325000242563,success
105,train,25,2,0,2,0,0.019695874994795304,success
1050,train,25,9,7,2,4,0.02233762499963632,success
1051,train,25,22,20,2,77,0.032648250002239365,success
1052,train,25,24,22,2,66,0.0339566249967902,success
1053,train,25,19,17,2,72,0.03150525000091875,success
1054,train,25,15,13,2,14,0.028461499998229556,success
1055,val,25,25,8,17,5,0.029362000001128763,success
1056,val,25,25,4,21,3,0.03082104200439062,success
1057,train,25,25,24,1,121,0.034186000004410744,success
1058,val,25,25,5,20,5,0.03323200000158977,success
1059,train,25,14,12,2,8,0.028778500003681984,success
106,train,25,2,0,2,0,0.022131958001409657,success
1060,train,25,9,7,2,4,0.025978416997531895,success
1061,train,25,25,23,2,243,0.030859459002385847,success
1062,train,25,22,20,2,119,0.030348209002113435,success
1063,train,25,18,16,2,17,0.031202375001157634,success
1064,train,25,25,24,1,121,0.03631275000225287,success
1065,val,25,25,2,23,1,0.02914966700336663,success
1066,train,25,11,9,2,8,0.02582458400138421,success
1067,train,25,20,18,2,26,0.030482292000669986,success
1068,train,25,9,7,2,7,0.023972875002073124,success
1069,train,25,20,18,2,99,0.030076583003392443,success
107,train,25,2,0,2,0,0.020466250003664754,success
1070,train,25,14,12,2,9,0.02499237500160234,success
1071,train,25,20,18,2,18,0.029778125004668254,success
1072,train,25,25,24,1,70,0.03602412500185892,success
1073,train,25,4,2,2,1,0.019253749997005798,success
1074,train,25,5,3,2,2,0.020554082999296952,success
1075,train,25,25,24,1,123,0.03519979200063972,success
1076,train,25,13,11,2,11,0.024395874999754597,success
1077,train,25,24,22,2,72,0.03120520800439408,success
1078,train,25,9,7,2,14,0.025977917001000606,success
1079,train,25,8,6,2,4,0.0247606659977464,success
108,train,25,2,0,2,0,0.01810624999779975,success
